"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,880,750,784,840,850,795,800,875,850,800,740,781,765,795
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,595,597,582,597.5,637.5,662.5,699.5,725,635,595,600,615,600,555,575,575,575,575,595,595,595,610,625,600,599.5,609,600,615,634,650,650,650,687,672,650,658.5,650,650,650,650,650,639.5,617.5,650,665,652.5,650,650,650,649,700,712.5,715,767.5,859.5,789,750,699.5,769,789,810,825
"Upper West Side","New York","NY","New York","New York",3,2800,2750,2747.5,2690,2800,2800,2875,2950,2800,2900,2947.5,2700,2595,2750,2800,2850,2750,2800,2850,2850,2895,2950,3000,2900,2950,2950,2975,2995,2900,2900,2939,2995,3000,3000,3000,3000,2990,3000,3000,3000,3000,3000,3000,3100,3095,3000,3050,3000,3000,3000,3000,3000,2950,3258,3275,3250,3250,3300,3270,3240,3250,3295,3300,3205,3225,3250,3300,3300,3300,3295,3250,3250,3250
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,1150,1200,1247.5,1297,1299,1299,1340,1372.5,1295,1295,1350,1320,1395,1350,1395,1305,1395,1350,1350,1350,1395,1395,1350,1350,1335,1342.5,1325,1350,1375,1350,1370,1350,1395,1437,1395,1395,1450,1472.5,1450,1499.5,1500,1525,1572.5,1610,1595,1550,1617.5,1650,1600,1595,1600,1615,1615
"Upper East Side","New York","NY","New York","New York",5,,,,,,,,,,,,,2200,2300,2450,2475,2450,2400,2450,2400,2460,2500,2500,2450,2495,2500,2499,2450,2499,2495,2495,2500,2550,2575,2550,2550,2500,2500,2500,2450,2450,2350,2450,2550,2550,2550,2550,2550,2595,2600,2595,2550,2550,2700,2700,2725,2732.5,2795,2795,2750,2800,2800,2795,2700,2750,2750,2795,2800,2795,2795,2795,2797,2800
"East New York","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,,,,,,,,,1250,1100,1050,1125,1100,1150,1100,1200,1200,1050,1100,1125,1150,1200,1200,1200,1100,1100,1199,1199,1200,1230,1250,1300,1240,1230,1212,1200,1200,1200,1200,1200,1250,1250,1200,1200,1300,1300,1350,1350,1450,1500,1500,1400,1400,1400,1400,1400,1400
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,925,885,757,782.5,800,800,800,795,755,790,812.5,795.5,845,875,879,850,829,875,878.5,900,820,892.5,895,882.5
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,702.5,724,705,729.5,717.5,724,691.5,768.5,741,755,782,820,880,870,870,799.5
"Washington Heights","New York","NY","New York","New York",9,,,,,,,,,,,1297.5,1295,1250,1275,1300,1300,1300,1300,1325,1350,1327.5,1325,1300,1325,1325,1350,1350,1350,1350,1350,1380,1400,1400,1400,1400,1400,1400,1450,1450,1450,1450,1450,1450,1495,1495,1490,1495,1495,1500,1500,1500,1500,1500,1501,1550,1582.5,1575,1550,1550,1595,1595,1600,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1600
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",10,,,,,,,,,,,,,,,,,,,925,900,932.5,925,900,900,925,925,950,997.5,950,925,895,950,950,950,950,952.5,1000,1000,975,997,980,985,980,1000,999,999,999,1050,1075,1095,1095,1050,1095,1175,1112.5,1112.5,1165,1175,1150,1175,1100,1257.5,1200,1195,1150,1250,1250,1195,1262.5,1195,1250,1355,1335
"Astoria","New York","NY","New York","Queens",11,,,,,,,,,,,,,1544.5,1525,1500,1500,1525,1550,1575,1575,1595,1600,1600,1650,1625,1635,1650,1695,1650,1700,1750,1800,1855,1850,1800,1850,1825,1825,1825,1825,1850,1925,2000,2000,2000,1995,1950,1999,2000,2000,2000,2000,2000,2000,2100,2000,2050,2000,2011.5,2000,1995,1950,1950,1995,1925,1950,2000,2000,1950,1985,1900,1900,1900
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,539,622,593,580,539,569,579.5,585,622,595,580,598,585,622,633,612.5,680,622,625,629
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",13,,,,,,,,,,,,,725,725,725,725,725,725,650,647,650,652,645,664.5,685,688,685,690,700,699,698.5,702.5,697,715,735,739,705,702,715,729,721.5,727,749,820,819.5,800,822.5,845,829.5,833,828.5,775,830,830,842,869,865,875,860,852,875,840,842,852,863,850,851,849.5,871,871.5,885,878.5,900
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",14,,,,,,,,,,,,1652.5,1644,1699,1400,1573.5,1435,1250,1275,1250,1395,1372.5,1362.5,1399.5,1495,1455,1395,1425,1300,1295,1325,1462.5,1500,1703,1540,1495,1700,1695,1599,1602.5,1600,1595,1590,1495,1575,1437,1525,1500,1495,1495,1495,1495,1495,1695,1695,1595,1650,1600,1780,1695,1630,1695,1595,1552.5,1650,1680,1649.5,1650,1697.5,1695,1695,1695,1695
"Williamsburg","New York","NY","New York","Kings",15,,,,,,,,,,,,,,,,,,,,,,,,2500,2400,2472.5,2500,2550,2500,2500,2500,2700,2800,2700,2800,2700,2650,2600,2700,2750,3000,2960.5,3000,3000,3000,2950,2879.5,2865,2850,2864,2864,2995,3000,2979,3000,2995,2850,2900,2800,2700,2700,2650,2750,3000,2900,2850,3000,2895,2750,2900,2900,2849,2873
"Bedford Stuyvesant","New York","NY","New York","Kings",16,,,,,,,,,,,,1400,1350,1400,1400,1350,1385,1400,1400,1400,1400,1400,1400,1387.5,1400,1400,1400,1450,1450,1450,1450,1500,1500,1500,1500,1500,1500,1550,1600,1650,1650,1700,1700,1700,1700,1750,1700,1700,1700,1750,1750,1700,1800,1800,1850,1850,1800,1800,1850,1900,1800,1825,1900,1900,1900,1900,1950,1900,1899,1900,1900,1900,1975
"Alhambra","Phoenix","AZ","Phoenix","Maricopa",17,,,,,,,,,,,,,,,,,,495,500,497.5,495,497.5,495,450,495,495,500,499,504,525,540,550,549,550,550,550,600,613.5,599,554.5,570,550,550,549.5,547,550,550,525,550,550,550,623.5,625,575,600,555,611,560,562.5,555,597,615,629,636.5,655,629,622,647,675,636.5,655,650,670.5
"Flatbush","New York","NY","New York","Kings",18,,,,,,,,,,,,,,,,,1262.5,1250,1250,1250,1250,1250,1275,1295,1250,1250,1250,1250,1295,1295,1295,1300,1300,1300,1300,1300,1325,1325,1350,1375,1375,1380,1400,1450,1400,1400,1450,1450,1450,1450,1450,1450,1499,1500,1500,1500,1500,1500,1500,1500,1545,1550,1550,1637.5,1575,1599,1600,1600,1600,1650,1600,1600,1600
"Crown Heights","New York","NY","New York","Kings",19,,,,,,,,,,,,,,1395,1395,1450,1400,1395,1354,1350,1350,1499,1550,1575,1595,1600,1600,1512.5,1500,1550,1600,1550,1475,1496.5,1475,1500,1500,1500,1550,1600,1595,1600,1650,1650,1600,1599,1595,1597,1550,1550,1599,1700,1700,1650,1675,1799,1772.5,1700,1700,1782,1750,1700,1800,1800,1900,1850,1995,2000,1995,1900,1912.5,1900,1962.5
"Jamaica","New York","NY","New York","Queens",20,,,,,,,,,,,,,,,,,,,,,,,,1225,1300,1250,1250,1250,1250,1275,1250,1300,1325,1325,1325,1275,1289.5,1280,1325,1351.5,1312,1350,1350,1350,1353,1375,1375,1415.5,1432.5,1450,1488,1375,1439,1450,1448.5,1457,1483,1457,1457,1450,1476,1599,1650,1650,1525,1555.5,1550,1500,1500,1500,1520,1573,1571
"Harlem","New York","NY","New York","New York",21,,,,,,,,,,,,1537.5,1495,1450,1435,1475,1475,1495,1495,1550,1500,1525,1495,1537.5,1600,1600,1620,1620,1625,1640,1625,1620,1595,1600,1595,1575,1600,1600,1600,1650,1697,1600,1600,1665,1600,1650,1637.5,1620,1600,1600,1650,1700,1725,1750,1750,1775,1795,1800,1775,1800,1850,1900,1900,1870,1900,1900,1925,1875,1900,1872.5,1877.5,1900,1900
"Williamsbridge","New York","NY","New York","Bronx",22,,,,,,,,,,,,,,,,,,1100,1100,1050,1000,1000,1000,1000,1000,1000,1000,1050,1075,1100,1077.5,1095,1050,1021,1075,1075,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1175,1175,1200,1200,1200,1200,1200,1250,1250,1250,1250,1250,1252,1300,1300,1250,1295,1300,1300,1300
"East Harlem","New York","NY","New York","New York",23,,,,,,,,,,,,1725,1687.5,1750,1795,1885,1837.5,1800,1795,1650,1695,1787.5,1785,1799.5,1750,1800,1795,1850,1850,1900,1995,2050,2090,2100,2000,2038,2038,1970,1957.5,2030,2224,2050,2175,2150,2150,2100,2150,2225,2225,2150,2150,2075,2065.5,2300,2197.5,2075,2085,2295,2300,1975,2075,1900,2150,2295,2349,2295,2225,2295.5,2300,2295,2296,2300,2300
"Bushwick","New York","NY","New York","Kings",24,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1399,1395,1400,1400,1500,1512.5,1550,1600,1600,1600,1400,1400,1499,1550,1600,1600,1650,1650,1747.5,1795,1800,1850,1837.5,1800,1800,1750,1750,1700,1700,1850,1850,1850,1850,1800,1800,1850,1800,1800,1850,1950,1962.5,1949,2000,2000,2000,1900,1900,1925,1999
